experiment_group,group,POP_SIZE,PROB_MUT,PX,GMAX,DAT_SIZE
gcm_base_0060,aumentados,100,1.0,0.75,15,1322
gcm_base_0060,aumentados,100,1.0,0.75,15,1322
gcm_base_0060,aumentados,100,1.0,0.75,15,1322
gcm_base_0060,aumentados,100,1.0,0.75,15,1322
gcm_base_0061,aumentados,100,0.1,0.75,15,1304
gcm_base_0061,aumentados,100,0.1,0.75,15,1304
gcm_base_0062,aumentados,100,0.1,0.75,15,254
gcm_base_0062,aumentados,100,0.1,0.75,15,254
gcm_base_0062,aumentados,100,0.1,0.75,15,6106
gcm_base_0063,original,100,0.1,0.75,15,114
gcm_base_0063,original,100,0.1,0.75,15,114
gcm_base_0063,original,100,0.1,0.75,15,114
gcm_base_0063,original,100,0.1,0.75,15,114
gcm_base_0063,original,100,0.1,0.75,15,114
gcm_base_0064,aumentados,100,0.1,0.75,15,1323
gcm_base_0064,aumentados,100,0.1,0.75,15,1323
gcm_base_0064,aumentados,100,0.1,0.75,15,1323
gcm_base_0064,aumentados,100,0.1,0.75,15,1323
gcm_base_0065,original,100,0.1,0.75,15,133
gcm_base_0065,original,100,0.1,0.75,15,133
gcm_base_0065,original,100,0.1,0.75,15,133
gcm_base_0065,original,100,0.1,0.75,15,133
gcm_base_0065,original,100,0.1,0.75,15,133
gcm_base_0061,aumentados,100,0.1,0.75,15,3129
gcm_base_0061,aumentados,100,0.1,0.75,15,3129
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0066,aumentados,100,0.1,0.75,15,3129
gcm_base_0066,aumentados,100,0.1,0.75,15,3129
gcm_base_0066,aumentados,100,0.1,0.75,15,3129
gcm_base_0066,aumentados,100,0.1,0.75,15,3129
gcm_base_0066,aumentados,100,0.1,0.75,15,3129
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0067,original,100,0.1,0.75,15,133
gcm_base_0068,aumentados,100,0.1,0.75,15,3129
gcm_base_0068,aumentados,100,0.1,0.75,15,3129
gcm_base_0068,aumentados,100,0.1,0.75,15,3129
gcm_base_0069,aumentados,100,0.1,0.75,15,3129
gcm_base_0069,aumentados,100,0.1,0.75,15,3129
gcm_base_0069,aumentados,100,0.1,0.75,15,3129
gcm_base_0069,aumentados,100,0.1,0.75,15,3129
gcm_base_0069,aumentados,100,0.1,0.75,15,3129
gcm_base_0070,original,100,0.1,0.75,15,133
gcm_base_0070,original,100,0.1,0.75,15,133
gcm_base_0070,original,100,0.1,0.75,15,133
gcm_base_0070,original,100,0.1,0.75,15,133
gcm_base_0070,original,100,0.1,0.75,15,133
