experiment_group,group,all_feature_ngenes,all_feature_acc,pob_accuracy_avg,pob_ngenes_avg,pob_accuracy_std,pob_ngenes_std
gcm_base_0060,aumentados,1600.0,0.59,0.67,397.5,0.0,0.0
gcm_base_0061,aumentados,1600.0,0.47,0.55,784.72,0.02,5.83
gcm_base_0062,aumentados,1600.0,0.4,0.48,779.0,0.0,0.0
gcm_base_0063,original,1600.0,0.35,0.5,781.4,0.0,0.0
gcm_base_0064,aumentados,1600.0,0.44,0.44,42.75,0.0,0.0
gcm_base_0065,original,1600.0,0.35,0.49,461.6,0.0,0.0
gcm_base_0066,aumentados,1600.0,0.44,0.54,453.7,0.01,0.59
gcm_base_0067,original,1600.0,0.35,0.43,46.4,0.0,0.0
gcm_base_0068,aumentados,1600.0,0.48,0.41,41.0,0.0,0.0
gcm_base_0069,aumentados,1600.0,0.42,0.5,193.8,0.0,0.0
gcm_base_0070,original,1600.0,0.35,0.48,190.0,0.0,0.0
